date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:14	169/169	---M--	200	added ('OK')	text/html	etag:W/%22169-1516858082000%22	http://dtcpass.delhi.gov.in/css/Flaticon.html	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/css/Flaticon.html	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:15	142072/142072	---M--	200	added ('OK')	font/ttf	etag:W/%22142072-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.ttf?v=4.5.0	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.ttf	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:16	42072/42072	---M--	200	added ('OK')	font/ttf	etag:W/%2242072-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticon.ttf	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/Flaticon.ttf	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:28	79756/79756	---M--	200	added ('OK')	font/woff2	etag:W/%2279756-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.woff2?v=1.4.57	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.woff2	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:33	102552/102552	---M--	200	added ('OK')	font/woff	etag:W/%22102552-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.woff?v=1.4.57	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.woff	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:46	1581343/1581343	---M--	200	added ('OK')	image/svg+xml	etag:W/%221581343-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.svg?v=1.4.57	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:48	689/689	---M--	200	added ('OK')	image/png	etag:W/%22689-1516858084000%22	http://dtcpass.delhi.gov.in/images/photoswipe-controls.png	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/images/photoswipe-controls.png	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:48	1131/1131	---M--	200	added ('OK')	image/svg+xml	etag:W/%221131-1516858084000%22	http://dtcpass.delhi.gov.in/images/photoswipe-controls.svg	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/images/photoswipe-controls.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:48	169/169	---M--	200	added ('OK')	text/html	etag:W/%22169-1516858084000%22	http://dtcpass.delhi.gov.in/images/preloader.html	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/images/preloader.html	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:49	2186/2186	---M--	200	added ('OK')	image/gif	etag:W/%222186-1516858082000%22	http://dtcpass.delhi.gov.in/images/ajax-loader.gif	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/images/ajax-loader.gif	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:56	208688/208688	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22208688-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.eot?v=1.4.57	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:57	208688/208688	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22208688-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfontd41d.eot?	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfontd41dd41d.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
23:15:00	20967/-1	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202023%2017:44:29%20GMT	http://dtcpass.delhi.gov.in/apply	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/apply.html	(from http://dtcpass.delhi.gov.in/home.jsp)
23:15:07	109157/-1	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202023%2017:44:23%20GMT	http://dtcpass.delhi.gov.in/login.jsp	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/login.html	(from http://dtcpass.delhi.gov.in/home.jsp)
